wwtp_id,county_fips,county,state,population_served,sample_location,normalization_method,per_capita_flow_rate,start_date,end_date,days,loss,sm,lt,rd,k,half_life
747,8005,Arapahoe,Colorado,25714,Treatment plant,flow-population,384.8060176240432,2022-03-03,2022-12-06,278,0.0675917863845825,39641078213.21617,14,0.371,0.4636240222816965,1.4947456704021589
534,9001,Fairfield,Connecticut,100000,Treatment plant,flow-population,17835.439088324114,2022-06-13,2022-12-12,182,0.3107755482196808,1439501230845.3523,14,0.3,0.3566749439387324,1.94294556367559
806,9001,Fairfield,Connecticut,65000,Treatment plant,flow-population,12331.882026447922,2022-06-08,2022-12-10,185,0.3898077607154846,2305805153421.439,14,0.351,0.432322562278047,1.6029697741157884
1395,9001,Fairfield,Connecticut,52265,Treatment plant,flow-population,7213.29379731915,2022-08-01,2022-12-14,135,0.3197249472141266,3522403099699.736,14,0.3,0.3566749439387324,1.94294556367559
771,9001,Fairfield,Connecticut,120000,Treatment plant,flow-population,19344.89792217052,2022-05-08,2022-12-13,219,0.3345511853694916,2567840928254.3213,14,0.5000000000000002,0.6931471805599457,0.999787663336051
291,9001,Fairfield,Connecticut,17000,Treatment plant,flow-population,1111.3295316592028,2022-01-18,2022-12-14,330,0.1762678027153015,21770740825934.254,14,0.5000000000000002,0.6931471805599457,0.999787663336051
1618,9003,Hartford,Connecticut,25000,Treatment plant,flow-population,685.8489904550909,2022-10-18,2022-12-13,56,0.109075516462326,1533960142680.837,14,0.4090000000000001,0.5259392615760389,1.3176426455088064
1194,10003,New Castle,Delaware,539000,Treatment plant,flow-population,81.0402892315616,2022-04-03,2022-12-13,254,5573803520.0,4.443106022789773e+17,0,0.5000000000000002,0.6931471805599457,0.999787663336051
1187,10003,New Castle,Delaware,17145,Treatment plant,flow-population,72.72282467828144,2022-04-03,2022-12-13,254,0.0650878027081489,258172036291.1508,7,0.3,0.3566749439387324,1.94294556367559
1392,12057,Hillsborough,Florida,180000,Treatment plant,flow-population,574.9159675944152,2022-08-03,2022-12-14,133,2052592.25,2.0028141448732828e+16,14,0.5000000000000002,0.6931471805599457,0.999787663336051
