sampling_week,effective_concentration_rolling_average,population,region
2020-10-07,91.91767207049422,"10,000,000-30,000,000",Nationwide
2020-10-07,66.37965779904656,"3,000,000-10,000,000",Northeast
2020-10-07,87.08059683179386,"3,000,000-10,000,000",South
2020-10-07,98.57746801101852,"1,000,000-3,000,000",West
2020-10-14,237.0594314178084,"1,000,000-3,000,000",Midwest
2020-10-14,134.9843995364523,"10,000,000-30,000,000",Nationwide
2020-10-14,99.19398342233764,"3,000,000-10,000,000",Northeast
2020-10-14,118.81127588234416,"3,000,000-10,000,000",South
2020-10-14,154.45577862034227,"1,000,000-3,000,000",West
2020-10-21,363.2114746656165,"1,000,000-3,000,000",Midwest
2020-10-21,170.12904335819448,"10,000,000-30,000,000",Nationwide
2020-10-21,128.5495690071613,"3,000,000-10,000,000",Northeast
2020-10-21,130.58955112057225,"3,000,000-10,000,000",South
2020-10-21,193.41558531501155,"1,000,000-3,000,000",West
2020-10-28,497.9243222982285,"1,000,000-3,000,000",Midwest
2020-10-28,193.02496307510907,"10,000,000-30,000,000",Nationwide
2020-10-28,154.8025074128454,"3,000,000-10,000,000",Northeast
2020-10-28,132.9951063358131,"3,000,000-10,000,000",South
2020-10-28,184.05113377989787,"1,000,000-3,000,000",West
2020-11-04,662.1846615852288,"1,000,000-3,000,000",Midwest
2020-11-04,293.26309480195823,"10,000,000-30,000,000",Nationwide
2020-11-04,246.3420890787837,"1,000,000-3,000,000",Northeast
2020-11-04,202.18667654274137,"3,000,000-10,000,000",South
2020-11-04,330.838924402844,"1,000,000-3,000,000",West
2020-11-11,850.6874114149572,"1,000,000-3,000,000",Midwest
2020-11-11,467.4616819477148,"10,000,000-30,000,000",Nationwide
2020-11-11,412.08651625300894,"3,000,000-10,000,000",Northeast
2020-11-11,334.053824626734,"3,000,000-10,000,000",South
2020-11-11,643.481577018961,"1,000,000-3,000,000",West
2020-11-18,1047.647038569511,"1,000,000-3,000,000",Midwest
2020-11-18,562.8614959196581,"10,000,000-30,000,000",Nationwide
2020-11-18,501.4185263929425,"3,000,000-10,000,000",Northeast
2020-11-18,489.3518998963596,"3,000,000-10,000,000",South
2020-11-18,525.1439386935044,"1,000,000-3,000,000",West
2020-11-25,927.525348474834,"1,000,000-3,000,000",Midwest
2020-11-25,621.821778427122,"10,000,000-30,000,000",Nationwide
2020-11-25,621.2566887279131,"1,000,000-3,000,000",Northeast
2020-11-25,639.1516275479557,"3,000,000-10,000,000",South
2020-11-25,427.76067373517714,"1,000,000-3,000,000",West
2020-12-02,746.8685116742639,"1,000,000-3,000,000",Midwest
2020-12-02,627.5730922895708,"10,000,000-30,000,000",Nationwide
2020-12-02,782.5019407743372,"3,000,000-10,000,000",Northeast
2020-12-02,610.6338003009047,"3,000,000-10,000,000",South
2020-12-02,438.7804706503208,"1,000,000-3,000,000",West
2020-12-09,646.8180474230835,"1,000,000-3,000,000",Midwest
2020-12-09,674.9153697603159,"10,000,000-30,000,000",Nationwide
2020-12-09,906.0807662255716,"3,000,000-10,000,000",Northeast
2020-12-09,645.1723000692424,"3,000,000-10,000,000",South
2020-12-09,454.1876409251881,"1,000,000-3,000,000",West
2020-12-16,887.1847448238896,"1,000,000-3,000,000",Midwest
2020-12-16,724.7267757767809,"10,000,000-30,000,000",Nationwide
2020-12-16,935.9622945059244,"3,000,000-10,000,000",Northeast
2020-12-16,648.566814928142,"3,000,000-10,000,000",South
2020-12-16,552.1273220116815,"1,000,000-3,000,000",West
2020-12-23,1022.0046812978494,"300,000-1,000,000",Midwest
2020-12-23,754.9466212794745,"3,000,000-10,000,000",Nationwide
2020-12-23,914.50803008733,"3,000,000-10,000,000",Northeast
2020-12-23,694.2746157686125,"3,000,000-10,000,000",South
2020-12-23,548.8028434052561,"1,000,000-3,000,000",West
2020-12-30,769.8928620307166,"1,000,000-3,000,000",Midwest
2020-12-30,706.3291247132305,"3,000,000-10,000,000",Nationwide
2020-12-30,898.4497731550006,"3,000,000-10,000,000",Northeast
2020-12-30,624.3603707512221,"3,000,000-10,000,000",South
2020-12-30,522.4207008779565,"300,000-1,000,000",West
2021-01-06,881.8830090663747,"100,000-300,000",Midwest
2021-01-06,812.1703412071826,"3,000,000-10,000,000",Nationwide
2021-01-06,962.9447559424132,"3,000,000-10,000,000",Northeast
2021-01-06,801.1921168758572,"3,000,000-10,000,000",South
2021-01-06,485.89422399077097,"1,000,000-3,000,000",West
2021-01-13,683.8642650561577,"3,000,000-10,000,000",Nationwide
2021-01-13,853.0969243782265,"3,000,000-10,000,000",Northeast
2021-01-13,664.0285249687641,"3,000,000-10,000,000",South
2021-01-13,428.841602024077,"1,000,000-3,000,000",West
2021-01-20,465.4069154176949,"100,000-300,000",Midwest
2021-01-20,513.2933696469885,"3,000,000-10,000,000",Nationwide
2021-01-20,703.2597958723765,"3,000,000-10,000,000",Northeast
2021-01-20,492.62598696954245,"3,000,000-10,000,000",South
2021-01-20,272.98591256937607,"1,000,000-3,000,000",West
2021-01-27,546.4035652217555,"100,000-300,000",Midwest
2021-01-27,395.1257141452527,"3,000,000-10,000,000",Nationwide
2021-01-27,557.182472257932,"3,000,000-10,000,000",Northeast
2021-01-27,349.2610070724596,"3,000,000-10,000,000",South
2021-01-27,192.64782270149044,"1,000,000-3,000,000",West
2021-02-03,390.482012699,"100,000-300,000",Midwest
2021-02-03,306.4574548475495,"3,000,000-10,000,000",Nationwide
2021-02-03,398.7230489400226,"3,000,000-10,000,000",Northeast
2021-02-03,280.632517834746,"3,000,000-10,000,000",South
2021-02-03,142.90867789388466,"300,000-1,000,000",West
2021-02-10,148.41898825215657,"100,000-300,000",Midwest
2021-02-10,227.37492295983256,"3,000,000-10,000,000",Nationwide
2021-02-10,305.48311446256633,"3,000,000-10,000,000",Northeast
2021-02-10,193.71964151654709,"3,000,000-10,000,000",South
2021-02-10,135.2761449785166,"100,000-300,000",West
2021-02-17,141.16969988174444,"100,000-300,000",Midwest
2021-02-17,180.1667438334252,"3,000,000-10,000,000",Nationwide
2021-02-17,291.66113618392365,"1,000,000-3,000,000",Northeast
2021-02-17,138.32136020296485,"3,000,000-10,000,000",South
2021-02-17,73.04980424787973,"300,000-1,000,000",West
2021-02-24,107.85976447580744,"100,000-300,000",Midwest
2021-02-24,182.74775143514415,"3,000,000-10,000,000",Nationwide
2021-02-24,269.1176368268635,"3,000,000-10,000,000",Northeast
2021-02-24,150.94683334699337,"3,000,000-10,000,000",South
2021-02-24,54.08167471061842,"300,000-1,000,000",West
2021-03-03,99.64240006870595,"100,000-300,000",Midwest
2021-03-03,194.09523580078192,"3,000,000-10,000,000",Nationwide
2021-03-03,256.1666393578618,"3,000,000-10,000,000",Northeast
2021-03-03,188.81597085907504,"3,000,000-10,000,000",South
2021-03-03,45.35484000569326,"300,000-1,000,000",West
2021-03-10,81.36715149904167,"100,000-300,000",Midwest
2021-03-10,188.8739709443635,"3,000,000-10,000,000",Nationwide
2021-03-10,215.1086961504564,"3,000,000-10,000,000",Northeast
2021-03-10,197.74742356018703,"3,000,000-10,000,000",South
2021-03-10,41.64654266602641,"100,000-300,000",West
2021-03-17,99.23365398330576,"100,000-300,000",Midwest
2021-03-17,163.9500138089708,"3,000,000-10,000,000",Nationwide
2021-03-17,241.83509638680823,"3,000,000-10,000,000",Northeast
2021-03-17,132.30617709748034,"3,000,000-10,000,000",South
2021-03-17,78.78380476972585,"300,000-1,000,000",West
2021-03-24,84.49478440333398,"100,000-300,000",Midwest
2021-03-24,181.0841349508014,"3,000,000-10,000,000",Nationwide
2021-03-24,262.2123431707114,"3,000,000-10,000,000",Northeast
2021-03-24,143.12469077875645,"3,000,000-10,000,000",South
2021-03-24,103.63002576795029,"300,000-1,000,000",West
2021-03-31,121.21017994677544,"100,000-300,000",Midwest
2021-03-31,200.6647134033947,"3,000,000-10,000,000",Nationwide
2021-03-31,281.7992300966138,"3,000,000-10,000,000",Northeast
2021-03-31,171.3820528803734,"3,000,000-10,000,000",South
2021-03-31,106.6161210434042,"300,000-1,000,000",West
2021-04-07,184.80478754926352,"100,000-300,000",Midwest
2021-04-07,203.46298567944584,"3,000,000-10,000,000",Nationwide
2021-04-07,268.2149301629991,"3,000,000-10,000,000",Northeast
2021-04-07,177.50979448051214,"3,000,000-10,000,000",South
2021-04-07,107.05263157511956,"300,000-1,000,000",West
2021-04-14,208.62094524055144,"10,000-30,000",Midwest
2021-04-14,178.0192145194081,"3,000,000-10,000,000",Nationwide
2021-04-14,232.4665052532483,"3,000,000-10,000,000",Northeast
2021-04-14,151.50428164443682,"3,000,000-10,000,000",South
2021-04-14,113.46347679226515,"300,000-1,000,000",West
